,Último_lag_5,Abertura_lag_5,Máxima_lag_5,Mínima_lag_5,Vol._lag_5,Var%_lag_5,Retornos_Log_lag_5,Return_Lag_1_lag_5,Return_Lag_2_lag_5,Return_Lag_3_lag_5,Return_Lag_4_lag_5,Return_Lag_5_lag_5,SMA_5_lag_5,SMA_10_lag_5,SMA_20_lag_5,Close_SMA_5_Ratio_lag_5,Close_SMA_10_Ratio_lag_5,Close_SMA_20_Ratio_lag_5,SMA_5_10_Ratio_lag_5,SMA_10_20_Ratio_lag_5,Último_lag_4,Abertura_lag_4,Máxima_lag_4,Mínima_lag_4,Vol._lag_4,Var%_lag_4,Retornos_Log_lag_4,Return_Lag_1_lag_4,Return_Lag_2_lag_4,Return_Lag_3_lag_4,Return_Lag_4_lag_4,Return_Lag_5_lag_4,SMA_5_lag_4,SMA_10_lag_4,SMA_20_lag_4,Close_SMA_5_Ratio_lag_4,Close_SMA_10_Ratio_lag_4,Close_SMA_20_Ratio_lag_4,SMA_5_10_Ratio_lag_4,SMA_10_20_Ratio_lag_4,Último_lag_3,Abertura_lag_3,Máxima_lag_3,Mínima_lag_3,Vol._lag_3,Var%_lag_3,Retornos_Log_lag_3,Return_Lag_1_lag_3,Return_Lag_2_lag_3,Return_Lag_3_lag_3,Return_Lag_4_lag_3,Return_Lag_5_lag_3,SMA_5_lag_3,SMA_10_lag_3,SMA_20_lag_3,Close_SMA_5_Ratio_lag_3,Close_SMA_10_Ratio_lag_3,Close_SMA_20_Ratio_lag_3,SMA_5_10_Ratio_lag_3,SMA_10_20_Ratio_lag_3,Último_lag_2,Abertura_lag_2,Máxima_lag_2,Mínima_lag_2,Vol._lag_2,Var%_lag_2,Retornos_Log_lag_2,Return_Lag_1_lag_2,Return_Lag_2_lag_2,Return_Lag_3_lag_2,Return_Lag_4_lag_2,Return_Lag_5_lag_2,SMA_5_lag_2,SMA_10_lag_2,SMA_20_lag_2,Close_SMA_5_Ratio_lag_2,Close_SMA_10_Ratio_lag_2,Close_SMA_20_Ratio_lag_2,SMA_5_10_Ratio_lag_2,SMA_10_20_Ratio_lag_2,Último_lag_1,Abertura_lag_1,Máxima_lag_1,Mínima_lag_1,Vol._lag_1,Var%_lag_1,Retornos_Log_lag_1,Return_Lag_1_lag_1,Return_Lag_2_lag_1,Return_Lag_3_lag_1,Return_Lag_4_lag_1,Return_Lag_5_lag_1,SMA_5_lag_1,SMA_10_lag_1,SMA_20_lag_1,Close_SMA_5_Ratio_lag_1,Close_SMA_10_Ratio_lag_1,Close_SMA_20_Ratio_lag_1,SMA_5_10_Ratio_lag_1,SMA_10_20_Ratio_lag_1
2011-01-31,65.362,65.272,65.893,64.916,1980000.0,0.14,-0.0062379618594181,0.0238954664679108,-0.0055902502799226,-0.0180771261370477,-0.0121228263373137,0.0032656407173574,65.137,66.19120000000001,66.67195000000001,1.0034542579486312,0.9874726549752836,0.9803523070796636,0.9840734115713266,0.9927893214462754,65.269,66.752,66.946,65.16,2680000.0,-2.24,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,-0.0055902502799226,-0.0180771261370477,-0.0121228263373137,65.0396,65.9114,66.5348,1.0035270819623738,0.9902535828399944,0.9809753692804368,0.9867731530509136,0.9906304670638524,66.765,66.688,66.849,66.091,2380000.0,0.12,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,-0.0055902502799226,-0.0180771261370477,65.477,65.8194,66.46575,1.0196710295218168,1.014366584927848,1.0045023188634747,0.9947978863374628,0.9902754426151816,66.688,67.844,68.012,66.643,2550000.0,-1.71,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,-0.0055902502799226,65.971,65.73060000000001,66.43605,1.0108684118779463,1.014565514387515,1.0037923687516042,1.003657352891956,0.9893815180161978,67.847,66.575,67.922,66.575,2110000.0,1.91,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,66.3862,65.8812,66.51625,1.022004573239619,1.0298385578890483,1.02000638941612,1.007665312714401,0.9904527089245112
2011-01-28,65.269,66.752,66.946,65.16,2680000.0,-2.24,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,-0.0055902502799226,-0.0180771261370477,-0.0121228263373137,65.0396,65.9114,66.5348,1.0035270819623738,0.9902535828399944,0.9809753692804368,0.9867731530509136,0.9906304670638524,66.765,66.688,66.849,66.091,2380000.0,0.12,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,-0.0055902502799226,-0.0180771261370477,65.477,65.8194,66.46575,1.0196710295218168,1.014366584927848,1.0045023188634747,0.9947978863374628,0.9902754426151816,66.688,67.844,68.012,66.643,2550000.0,-1.71,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,-0.0055902502799226,65.971,65.73060000000001,66.43605,1.0108684118779463,1.014565514387515,1.0037923687516042,1.003657352891956,0.9893815180161978,67.847,66.575,67.922,66.575,2110000.0,1.91,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,66.3862,65.8812,66.51625,1.022004573239619,1.0298385578890483,1.02000638941612,1.007665312714401,0.9904527089245112,66.575,66.697,67.166,66.271,2250000.0,-0.18,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,66.6288,65.8829,66.47585000000001,0.9991925413634946,1.0105050020566793,1.0014915191005451,1.011321602418837,0.991080219357857
2011-01-27,66.765,66.688,66.849,66.091,2380000.0,0.12,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,-0.0055902502799226,-0.0180771261370477,65.477,65.8194,66.46575,1.0196710295218168,1.014366584927848,1.0045023188634747,0.9947978863374628,0.9902754426151816,66.688,67.844,68.012,66.643,2550000.0,-1.71,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,-0.0055902502799226,65.971,65.73060000000001,66.43605,1.0108684118779463,1.014565514387515,1.0037923687516042,1.003657352891956,0.9893815180161978,67.847,66.575,67.922,66.575,2110000.0,1.91,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,66.3862,65.8812,66.51625,1.022004573239619,1.0298385578890483,1.02000638941612,1.007665312714401,0.9904527089245112,66.575,66.697,67.166,66.271,2250000.0,-0.18,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,66.6288,65.8829,66.47585000000001,0.9991925413634946,1.0105050020566793,1.0014915191005451,1.011321602418837,0.991080219357857,66.698,68.051,68.182,65.898,2540000.0,-1.99,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,66.9146,65.97710000000001,66.4656,0.9967630382607084,1.0109265184435203,1.0034965455814735,1.0142094757120272,0.9926503334055512
2011-01-26,66.688,67.844,68.012,66.643,2550000.0,-1.71,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,-0.0055902502799226,65.971,65.73060000000001,66.43605,1.0108684118779463,1.014565514387515,1.0037923687516042,1.003657352891956,0.9893815180161978,67.847,66.575,67.922,66.575,2110000.0,1.91,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,66.3862,65.8812,66.51625,1.022004573239619,1.0298385578890483,1.02000638941612,1.007665312714401,0.9904527089245112,66.575,66.697,67.166,66.271,2250000.0,-0.18,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,66.6288,65.8829,66.47585000000001,0.9991925413634946,1.0105050020566793,1.0014915191005451,1.011321602418837,0.991080219357857,66.698,68.051,68.182,65.898,2540000.0,-1.99,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,66.9146,65.97710000000001,66.4656,0.9967630382607084,1.0109265184435203,1.0034965455814735,1.0142094757120272,0.9926503334055512,68.051,68.717,69.108,67.775,2300000.0,-0.96,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,67.1718,66.3244,66.52069999999999,1.013088825965658,1.0260326516334863,1.0230048691610285,1.01277659503893,0.9970490388706073
2011-01-24,67.847,66.575,67.922,66.575,2110000.0,1.91,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,0.0238954664679108,66.3862,65.8812,66.51625,1.022004573239619,1.0298385578890483,1.02000638941612,1.007665312714401,0.9904527089245112,66.575,66.697,67.166,66.271,2250000.0,-0.18,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,66.6288,65.8829,66.47585000000001,0.9991925413634946,1.0105050020566793,1.0014915191005451,1.011321602418837,0.991080219357857,66.698,68.051,68.182,65.898,2540000.0,-1.99,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,66.9146,65.97710000000001,66.4656,0.9967630382607084,1.0109265184435203,1.0034965455814735,1.0142094757120272,0.9926503334055512,68.051,68.717,69.108,67.775,2300000.0,-0.96,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,67.1718,66.3244,66.52069999999999,1.013088825965658,1.0260326516334863,1.0230048691610285,1.01277659503893,0.9970490388706073,68.709,69.427,69.556,68.515,2540000.0,-1.03,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,67.576,66.7735,66.61064999999999,1.016766307564816,1.028986049855107,1.0315017193196585,1.0120182407691674,1.0024448042467684
2011-01-21,66.575,66.697,67.166,66.271,2250000.0,-0.18,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,-0.0062379618594181,66.6288,65.8829,66.47585000000001,0.9991925413634946,1.0105050020566793,1.0014915191005451,1.011321602418837,0.991080219357857,66.698,68.051,68.182,65.898,2540000.0,-1.99,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,66.9146,65.97710000000001,66.4656,0.9967630382607084,1.0109265184435203,1.0034965455814735,1.0142094757120272,0.9926503334055512,68.051,68.717,69.108,67.775,2300000.0,-0.96,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,67.1718,66.3244,66.52069999999999,1.013088825965658,1.0260326516334863,1.0230048691610285,1.01277659503893,0.9970490388706073,68.709,69.427,69.556,68.515,2540000.0,-1.03,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,67.576,66.7735,66.61064999999999,1.016766307564816,1.028986049855107,1.0315017193196585,1.0120182407691674,1.0024448042467684,69.427,69.134,69.513,68.786,1470000.0,0.43,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,67.892,67.1391,66.76,1.0226094385200024,1.034077013245635,1.0399490713001798,1.0112140317639051,1.005678550029958
2011-01-20,66.698,68.051,68.182,65.898,2540000.0,-1.99,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,-0.0014238582834415,66.9146,65.97710000000001,66.4656,0.9967630382607084,1.0109265184435203,1.0034965455814735,1.0142094757120272,0.9926503334055512,68.051,68.717,69.108,67.775,2300000.0,-0.96,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,67.1718,66.3244,66.52069999999999,1.013088825965658,1.0260326516334863,1.0230048691610285,1.01277659503893,0.9970490388706073,68.709,69.427,69.556,68.515,2540000.0,-1.03,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,67.576,66.7735,66.61064999999999,1.016766307564816,1.028986049855107,1.0315017193196585,1.0120182407691674,1.0024448042467684,69.427,69.134,69.513,68.786,1470000.0,0.43,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,67.892,67.1391,66.76,1.0226094385200024,1.034077013245635,1.0399490713001798,1.0112140317639051,1.005678550029958,69.133,69.56,70.027,69.095,2069999.9999999998,-0.62,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,68.40360000000001,67.5162,66.8537,1.010663181469981,1.0239468453497087,1.0340938497046537,1.0131435122237331,1.0099096983413034
2011-01-19,68.051,68.717,69.108,67.775,2300000.0,-0.96,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,0.0226617995805825,67.1718,66.3244,66.52069999999999,1.013088825965658,1.0260326516334863,1.0230048691610285,1.01277659503893,0.9970490388706073,68.709,69.427,69.556,68.515,2540000.0,-1.03,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,67.576,66.7735,66.61064999999999,1.016766307564816,1.028986049855107,1.0315017193196585,1.0120182407691674,1.0024448042467684,69.427,69.134,69.513,68.786,1470000.0,0.43,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,67.892,67.1391,66.76,1.0226094385200024,1.034077013245635,1.0399490713001798,1.0112140317639051,1.005678550029958,69.133,69.56,70.027,69.095,2069999.9999999998,-0.62,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,68.40360000000001,67.5162,66.8537,1.010663181469981,1.0239468453497087,1.0340938497046537,1.0131435122237331,1.0099096983413034,69.562,70.056,70.083,69.177,2170000.0,-0.71,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,68.9764,67.9455,66.92845,1.0084898603000447,1.02379112671185,1.039348737345628,1.015172454393595,1.0151960787975816
2011-01-18,68.709,69.427,69.556,68.515,2540000.0,-1.03,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,-0.0011539644450802,67.576,66.7735,66.61064999999999,1.016766307564816,1.028986049855107,1.0315017193196585,1.0120182407691674,1.0024448042467684,69.427,69.134,69.513,68.786,1470000.0,0.43,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,67.892,67.1391,66.76,1.0226094385200024,1.034077013245635,1.0399490713001798,1.0112140317639051,1.005678550029958,69.133,69.56,70.027,69.095,2069999.9999999998,-0.62,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,68.40360000000001,67.5162,66.8537,1.010663181469981,1.0239468453497087,1.0340938497046537,1.0131435122237331,1.0099096983413034,69.562,70.056,70.083,69.177,2170000.0,-0.71,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,68.9764,67.9455,66.92845,1.0084898603000447,1.02379112671185,1.039348737345628,1.015172454393595,1.0151960787975816,70.058,70.921,71.19,69.966,1880000.0,-1.22,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,69.37780000000001,68.2748,67.0471,1.0098042889800485,1.0261179820372963,1.044907236852899,1.0161553018097456,1.0183110082315268
2011-01-17,69.427,69.134,69.513,68.786,1470000.0,0.43,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,0.0172301434319657,67.892,67.1391,66.76,1.0226094385200024,1.034077013245635,1.0399490713001798,1.0112140317639051,1.005678550029958,69.133,69.56,70.027,69.095,2069999.9999999998,-0.62,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,68.40360000000001,67.5162,66.8537,1.010663181469981,1.0239468453497087,1.0340938497046537,1.0131435122237331,1.0099096983413034,69.562,70.056,70.083,69.177,2170000.0,-0.71,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,68.9764,67.9455,66.92845,1.0084898603000447,1.02379112671185,1.039348737345628,1.015172454393595,1.0151960787975816,70.058,70.921,71.19,69.966,1880000.0,-1.22,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,69.37780000000001,68.2748,67.0471,1.0098042889800485,1.0261179820372963,1.044907236852899,1.0161553018097456,1.0183110082315268,70.92,70.612,71.094,70.612,1880000.0,0.44,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,69.82,68.69800000000001,67.21430000000001,1.0157547980521342,1.032344464176541,1.055132613149285,1.016332353198055,1.0220741717164352
2011-01-14,69.133,69.56,70.027,69.095,2069999.9999999998,-0.62,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,-0.0189260384228168,68.40360000000001,67.5162,66.8537,1.010663181469981,1.0239468453497087,1.0340938497046537,1.0131435122237331,1.0099096983413034,69.562,70.056,70.083,69.177,2170000.0,-0.71,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,68.9764,67.9455,66.92845,1.0084898603000447,1.02379112671185,1.039348737345628,1.015172454393595,1.0151960787975816,70.058,70.921,71.19,69.966,1880000.0,-1.22,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,69.37780000000001,68.2748,67.0471,1.0098042889800485,1.0261179820372963,1.044907236852899,1.0161553018097456,1.0183110082315268,70.92,70.612,71.094,70.612,1880000.0,0.44,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,69.82,68.69800000000001,67.21430000000001,1.0157547980521342,1.032344464176541,1.055132613149285,1.016332353198055,1.0220741717164352,70.609,70.94,70.94,70.544,1540000.0,-0.47,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,70.05640000000001,68.9742,67.4277,1.0078879302961612,1.0237016159665495,1.0471809063634083,1.0156899246384885,1.0229356777704115
2011-01-13,69.562,70.056,70.083,69.177,2170000.0,-0.71,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,0.0018458357645263,68.9764,67.9455,66.92845,1.0084898603000447,1.02379112671185,1.039348737345628,1.015172454393595,1.0151960787975816,70.058,70.921,71.19,69.966,1880000.0,-1.22,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,69.37780000000001,68.2748,67.0471,1.0098042889800485,1.0261179820372963,1.044907236852899,1.0161553018097456,1.0183110082315268,70.92,70.612,71.094,70.612,1880000.0,0.44,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,69.82,68.69800000000001,67.21430000000001,1.0157547980521342,1.032344464176541,1.055132613149285,1.016332353198055,1.0220741717164352,70.609,70.94,70.94,70.544,1540000.0,-0.47,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,70.05640000000001,68.9742,67.4277,1.0078879302961612,1.0237016159665495,1.0471809063634083,1.0156899246384885,1.0229356777704115,70.94,70.723,71.184,70.397,1810000.0,0.31,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,70.41779999999999,69.41069999999999,67.64680000000001,1.007415738634266,1.0220326260936716,1.048682273219132,1.0145092903543689,1.026075143244026
2011-01-12,70.058,70.921,71.19,69.966,1880000.0,-1.22,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,0.0200824566021303,69.37780000000001,68.2748,67.0471,1.0098042889800485,1.0261179820372963,1.044907236852899,1.0161553018097456,1.0183110082315268,70.92,70.612,71.094,70.612,1880000.0,0.44,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,69.82,68.69800000000001,67.21430000000001,1.0157547980521342,1.032344464176541,1.055132613149285,1.016332353198055,1.0220741717164352,70.609,70.94,70.94,70.544,1540000.0,-0.47,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,70.05640000000001,68.9742,67.4277,1.0078879302961612,1.0237016159665495,1.0471809063634083,1.0156899246384885,1.0229356777704115,70.94,70.723,71.184,70.397,1810000.0,0.31,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,70.41779999999999,69.41069999999999,67.64680000000001,1.007415738634266,1.0220326260936716,1.048682273219132,1.0145092903543689,1.026075143244026,70.721,71.631,71.924,70.719,2240000.0,-1.27,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,70.6496,69.813,67.89505,1.0010106214331007,1.013006173635283,1.041622327400893,1.011983441479381,1.0282487456743905
2011-01-11,70.92,70.612,71.094,70.612,1880000.0,0.44,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,0.0096227709481404,69.82,68.69800000000001,67.21430000000001,1.0157547980521342,1.032344464176541,1.055132613149285,1.016332353198055,1.0220741717164352,70.609,70.94,70.94,70.544,1540000.0,-0.47,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,70.05640000000001,68.9742,67.4277,1.0078879302961612,1.0237016159665495,1.0471809063634083,1.0156899246384885,1.0229356777704115,70.94,70.723,71.184,70.397,1810000.0,0.31,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,70.41779999999999,69.41069999999999,67.64680000000001,1.007415738634266,1.0220326260936716,1.048682273219132,1.0145092903543689,1.026075143244026,70.721,71.631,71.924,70.719,2240000.0,-1.27,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,70.6496,69.813,67.89505,1.0010106214331007,1.013006173635283,1.041622327400893,1.011983441479381,1.0282487456743905,71.633,70.429,71.633,70.429,2520000.0,1.72,0.0128133031414908,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,70.9646,70.1712,68.24780000000001,1.0094187806314696,1.020831908247258,1.0496015988793777,1.0113066329206284,1.028182593431583
2011-01-10,70.609,70.94,70.94,70.544,1540000.0,-0.47,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,0.0103956458293842,70.05640000000001,68.9742,67.4277,1.0078879302961612,1.0237016159665495,1.0471809063634083,1.0156899246384885,1.0229356777704115,70.94,70.723,71.184,70.397,1810000.0,0.31,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,70.41779999999999,69.41069999999999,67.64680000000001,1.007415738634266,1.0220326260936716,1.048682273219132,1.0145092903543689,1.026075143244026,70.721,71.631,71.924,70.719,2240000.0,-1.27,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,70.6496,69.813,67.89505,1.0010106214331007,1.013006173635283,1.041622327400893,1.011983441479381,1.0282487456743905,71.633,70.429,71.633,70.429,2520000.0,1.72,0.0128133031414908,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,70.9646,70.1712,68.24780000000001,1.0094187806314696,1.020831908247258,1.0496015988793777,1.0113066329206284,1.028182593431583,70.423,70.146,70.647,70.145,2140000.0,0.42,-0.0170359472892572,0.0128133031414908,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,70.8652,70.3426,68.55805000000001,0.993759983743784,1.001142977370754,1.027202494820083,1.007429352909901,1.026029766015807
2011-01-07,70.94,70.723,71.184,70.397,1810000.0,0.31,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,-0.0042436553292557,70.41779999999999,69.41069999999999,67.64680000000001,1.007415738634266,1.0220326260936716,1.048682273219132,1.0145092903543689,1.026075143244026,70.721,71.631,71.924,70.719,2240000.0,-1.27,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,70.6496,69.813,67.89505,1.0010106214331007,1.013006173635283,1.041622327400893,1.011983441479381,1.0282487456743905,71.633,70.429,71.633,70.429,2520000.0,1.72,0.0128133031414908,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,70.9646,70.1712,68.24780000000001,1.0094187806314696,1.020831908247258,1.0496015988793777,1.0113066329206284,1.028182593431583,70.423,70.146,70.647,70.145,2140000.0,0.42,-0.0170359472892572,0.0128133031414908,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,70.8652,70.3426,68.55805000000001,0.993759983743784,1.001142977370754,1.027202494820083,1.007429352909901,1.026029766015807,70.127,70.056,70.133,69.666,1610000.0,0.1,-0.0042120304178747,-0.0170359472892572,0.0128133031414908,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,70.76879999999998,70.4126,68.77585,0.9909310317541064,0.9959439077665077,1.01964570412434,1.0050587536889704,1.023798324557239
2011-01-06,70.721,71.631,71.924,70.719,2240000.0,-1.27,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,0.0061862557142367,70.6496,69.813,67.89505,1.0010106214331007,1.013006173635283,1.041622327400893,1.011983441479381,1.0282487456743905,71.633,70.429,71.633,70.429,2520000.0,1.72,0.0128133031414908,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,0.0071050291729611,70.9646,70.1712,68.24780000000001,1.0094187806314696,1.020831908247258,1.0496015988793777,1.0113066329206284,1.028182593431583,70.423,70.146,70.647,70.145,2140000.0,0.42,-0.0170359472892572,0.0128133031414908,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,0.0122290108038872,70.8652,70.3426,68.55805000000001,0.993759983743784,1.001142977370754,1.027202494820083,1.007429352909901,1.026029766015807,70.127,70.056,70.133,69.666,1610000.0,0.1,-0.0042120304178747,-0.0170359472892572,0.0128133031414908,-0.0030918908445671,0.0046768342174641,-0.0043948660779955,70.76879999999998,70.4126,68.77585,0.9909310317541064,0.9959439077665077,1.01964570412434,1.0050587536889704,1.023798324557239,70.057,70.58,70.783,69.718,1760000.0,-0.74,-0.0009986875223708,-0.0042120304178747,-0.0170359472892572,0.0128133031414908,-0.0030918908445671,0.0046768342174641,70.5922,70.505,69.0106,0.9924184258317492,0.9936458407205164,1.0151628880201014,1.0012367917168996,1.0216546443589825
